loss,accuracy,iou_metric,dice_coefficient,val_loss,val_accuracy,val_iou_metric,val_dice_coefficient
0.72639000415802,0.9005017280578613,0.05922461673617363,0.10911890864372253,0.6755334138870239,0.9216397404670715,0.07456131279468536,0.13535824418067932
0.4947289824485779,0.9350665211677551,0.250248521566391,0.3648959994316101,0.3774137496948242,0.9553583264350891,0.38138866424560547,0.5102963447570801
0.3519088625907898,0.9547144174575806,0.42111530900001526,0.5492017865180969,0.33016765117645264,0.96054607629776,0.4480990469455719,0.5707674622535706
0.3277069628238678,0.9592275619506836,0.45909178256988525,0.5812016129493713,0.3153386116027832,0.9633269906044006,0.4737802743911743,0.5914835929870605
0.31414490938186646,0.9615441560745239,0.4817590117454529,0.599478542804718,0.30513525009155273,0.9643911719322205,0.4887702763080597,0.6042444109916687
0.3054329752922058,0.9629429578781128,0.4959115982055664,0.6103240847587585,0.29707133769989014,0.9636982083320618,0.5058158040046692,0.6183965802192688
0.29843831062316895,0.963783323764801,0.5090304613113403,0.6205552816390991,0.29249435663223267,0.9639800190925598,0.514854371547699,0.6252270340919495
0.29353204369544983,0.964694082736969,0.5180522799491882,0.6272731423377991,0.2869044542312622,0.9663099646568298,0.5216445326805115,0.6298164129257202
0.289946049451828,0.9652059674263,0.523694634437561,0.631339967250824,0.282911479473114,0.966690182685852,0.5296858549118042,0.6357640624046326
0.2851475179195404,0.9660969376564026,0.5326194763183594,0.6379011869430542,0.2791457772254944,0.9669230580329895,0.534516453742981,0.6396802067756653
0.28184905648231506,0.9666512608528137,0.5377262830734253,0.6416324973106384,0.27526262402534485,0.9680396914482117,0.5423967242240906,0.645105242729187
0.2778985798358917,0.9675266146659851,0.5440794229507446,0.6462322473526001,0.271970272064209,0.9681039452552795,0.5493382215499878,0.65028315782547
0.2739453613758087,0.9685044884681702,0.5503106117248535,0.6507478356361389,0.2682954967021942,0.9693109393119812,0.5552502274513245,0.6545391082763672
0.27100634574890137,0.9692910313606262,0.5543215870857239,0.6539039611816406,0.2650642395019531,0.9699389934539795,0.5568230748176575,0.6561505198478699
0.268665611743927,0.9704421758651733,0.5559008717536926,0.6548957824707031,0.2634166479110718,0.9702943563461304,0.5617183446884155,0.6598098874092102
0.27137047052383423,0.968706488609314,0.5560908317565918,0.6550929546356201,0.26340991258621216,0.9718082547187805,0.5545824766159058,0.6548022627830505
0.2658548653125763,0.9704612493515015,0.561284065246582,0.6584696173667908,0.274875670671463,0.9643892645835876,0.5479532480239868,0.6501381993293762
0.2666763365268707,0.9702968597412109,0.5605893135070801,0.6586689949035645,0.26117467880249023,0.9714841246604919,0.5598085522651672,0.6585543751716614
0.2644232213497162,0.9704650044441223,0.5636098980903625,0.6605726480484009,0.25639137625694275,0.9719482660293579,0.5674030184745789,0.6644737124443054
0.2573046386241913,0.9729665517807007,0.5717771649360657,0.6675109267234802,0.2509092092514038,0.9750440120697021,0.5739505290985107,0.6708930730819702
